Object,V1
BakingSoda_800_tex.urdf,FALSE
BakingVanilla_800_tex.urdf,FALSE
BroccoliSoup_800_tex.urdf,FALSE
CatLying_800_tex.urdf,FALSE
CeylonTea_800_tex.urdf,FALSE
ChickenSoup_800_tex.urdf,FALSE
ChocMarshmallows_800_tex.urdf,FALSE
ChocSticks2_800_tex.urdf,FALSE
ChocSticks_800_tex.urdf,FALSE
ChocoIcing_800_tex.urdf,FALSE
ChocolateBars_800_tex.urdf,FALSE
ChoppedTomatoes_800_tex.urdf,FALSE
Clown_800_tex.urdf,FALSE
CoffeeBox_800_tex.urdf,FALSE
CoffeeCookies_800_tex.urdf,FALSE
CoffeeFilters2_800_tex.urdf,FALSE
CoffeeFilters_800_tex.urdf,FALSE
CoughDropsBerries_800_tex.urdf,FALSE
CoughDropsHoney_800_tex.urdf,FALSE
DanishHam_800_tex.urdf,FALSE
Dog_800_tex.urdf,FALSE
DropsCherry_800_tex.urdf,FALSE
DropsOrange_800_tex.urdf,FALSE
Fish_800_tex.urdf,FALSE
FlowerCup_800_tex.urdf,FALSE
FruitBars_800_tex.urdf,FALSE
FruitDrink_800_tex.urdf,FALSE
Glassbowl_800_tex.urdf,FALSE
GreenCup_800_tex.urdf,FALSE
GreenSaltCylinder_800_tex.urdf,FALSE
Heart1_800_tex.urdf,FALSE
HeringTin_800_tex.urdf,FALSE
HotPot2_800_tex.urdf,FALSE
InstantDumplings_800_tex.urdf,FALSE
InstantIceCoffee_800_tex.urdf,FALSE
InstantMousse_800_tex.urdf,FALSE
InstantSauce_800_tex.urdf,FALSE
InstantSoup_800_tex.urdf,FALSE
InstantTomatoSoup_800_tex.urdf,FALSE
Margarine_800_tex.urdf,FALSE
MilkDrinkVanilla_800_tex.urdf,FALSE
MuesliBars_800_tex.urdf,FALSE
NutCandy_800_tex.urdf,FALSE
NutellaGo_800_tex.urdf,FALSE
OrangeMarmelade_800_tex.urdf,FALSE
OrgFruitTea_800_tex.urdf,FALSE
Peanuts2_800_tex.urdf,FALSE
Peanuts_800_tex.urdf,FALSE
Peas_800_tex.urdf,FALSE
PineappleSlices_800_tex.urdf,FALSE
Pitcher_800_tex.urdf,FALSE
Pony_800_tex.urdf,FALSE
PotatoeDumplings_800_tex.urdf,FALSE
PotatoeStarch_800_tex.urdf,FALSE
PowderedSugar_800_tex.urdf,FALSE
RavioliLarge_800_tex.urdf,FALSE
RedCup_800_tex.urdf,FALSE
Rice_800_tex.urdf,FALSE
RuskWholemeal_800_tex.urdf,FALSE
SauerkrautSmall_800_tex.urdf,FALSE
Sauerkraut_800_tex.urdf,FALSE
Seal_800_tex.urdf,FALSE
SmacksCereals_800_tex.urdf,FALSE
SoftCakeOrange_800_tex.urdf,FALSE
SoftCheese_800_tex.urdf,FALSE
TomatoSauce_800_tex.urdf,FALSE
Tortoise_800_tex.urdf,FALSE
ToyCarYelloq_800_tex.urdf,FALSE
VitalisCereals_800_tex.urdf,FALSE
Wafflerolls_800_tex.urdf,FALSE
block.urdf,FALSE
climbing_hold.urdf,FALSE
cube_small.urdf,FALSE
duck_vhacd.urdf,FALSE
endstop_holder.urdf,FALSE
mount1.urdf,FALSE
part1.urdf,FALSE
part3.urdf,FALSE
pawn.urdf,FALSE
pr2_gripper.urdf,FALSE
r2d2.urdf,FALSE
sphere_small.urdf,FALSE
teddy_vhacd.urdf,FALSE
vase.urdf,FALSE
